Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"Our Violent Ends (These Violent Delights, #2)","Gong, Chloe*",494pp,5,"Nov 16, 2021",Date Read Not Set,"November 23, 2021",1,9781529344561,1529344565,44084762,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612451534l/44084762._SY75_.jpg
"The Prison Healer (The Prison Healer, #1)","Noni, Lynette*",416pp,4,"Apr 13, 2021",Date Read Not Set,"September 21, 2021",1,9780358434559,0358434556,53968496,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593147576l/53968496._SY75_.jpg
"As Good As Dead (A Good Girl's Guide to Murder, #3)","Jackson, Holly*",552pp,4,"Aug 05, 2021",Date Read Not Set,"September 21, 2021",1,9780593379851,0593379853,56905097,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623112782l/56905097._SY75_.jpg
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)","Garber, Stephanie*",403pp,3,"Sep 28, 2021",Date Read Not Set,"September 21, 2021",1,9781529380903,1529380901,56251143,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623337991l/56251143._SX50_.jpg
"These Hollow Vows (These Hollow Vows, #1)","Ryan, Lexi*",448pp,3,"Jul 20, 2021",Date Read Not Set,"August 31, 2021",1,,B08B3K64RC,53422971,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603478051l/53422971._SY75_.jpg
"Hunting November (Killing November, #2)","Mather, Adriana*",368pp,4,"May 05, 2020",Date Read Not Set,"August 31, 2021",1,9780525579120,0525579125,51052498,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561997075l/51052498._SX50_SY75_.jpg
"Killing November (Killing November, #1)","Mather, Adriana*",406pp,4,"Mar 26, 2019",Date Read Not Set,"July 19, 2021",1,9780525579083,0525579087,35053980,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550180267l/35053980._SX50_.jpg
The Cheerleaders,"Thomas, Kara",384pp,3,"Jul 31, 2018",Date Read Not Set,"July 18, 2021",1,9781524718329,1524718327,30969755,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508532886l/30969755._SY75_.jpg
"Pretty Little Liars (Pretty Little Liars, #1)","Shepard, Sara*",286pp,2,"Oct 03, 2006",Date Read Not Set,"July 08, 2021",1,9780060887308,0060887303,162085,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377830522l/162085._SY75_.jpg
"The Princess Diaries (The Princess Diaries, #1)","Cabot, Meg*",283pp,2,"May 30, 2000",Date Read Not Set,"July 08, 2021",1,9780613371650,0613371658,38980,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355011082l/38980._SY75_.jpg
